filename,book_title,style_tags,mood_tags,composition_tags,scene_tags,season_tags,content_tags,emotion_tags,theme_tags,text_type_fit,age_orientation,tone_tags,book_theme_summary,book_keywords
"01-100个圣诞老人.jpg","100个圣诞老人","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待补充","待补充"
"01.jpg","14只老鼠的摇篮曲","水彩,童趣","温馨,热闹,宁静","俯视构图","夜晚室内,集体生活","秋","动物主角,床铺,灯光,叶子被子,阅读","宁静,温馨,安全感","亲情,睡前仪式,自然,家庭","睡前故事,哲理短句,温柔祝福","幼儿,小学低年级,全龄睡前","温柔,诗意,抚慰","描绘14只老鼠一家在森林树屋里安然入睡的夜晚仪式，营造亲密、自然与安全的家庭氛围，适合作为睡前陪伴阅读。","14只老鼠, 家庭, 睡前, 自然, 安全感, 夜晚"
"02-14只老鼠过冬天.jpg","14只老鼠过冬天","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待补充","待补充"
"02.jpg","三个强盗","剪纸风,强烈色彩对比","紧张,神秘,惊险","侧面构图","户外夜晚,拦截马车","","人类角色,马车,斧头,雨夜","紧张,神秘,惊悚","冒险,正义与邪恶,勇气","惊险叙述,寓言故事","小学中高年级","戏剧化,阴暗","故事描绘了三个外表凶恶却内心善良的强盗，通过他们与孩子们的相遇，传达了同理心与改变的可能性。","强盗, 冒险, 善恶, 改变, 孤儿"
"03-14只老鼠过冬天1.jpg","14只老鼠过冬天","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待补充","待补充"
"03.jpg","圣诞夜的空袜子","拼贴风,手绘线条","温馨,欢乐,节日感","留白构图","室内节日布置","冬","人类主角,圣诞树,礼物,袜子,狗","喜悦,期待,节日感","节日家庭,礼物惊喜","节日故事,家庭互动","全龄通用","轻快,欢乐","在圣诞夜，孩子发现空袜子背后的故事，唤起了对节日的期待与惊喜，传达给予与希望的节日意义。","圣诞节, 惊喜, 礼物, 希望, 家庭"
"04-一只红手套-1.jpg","一只红手套","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待补充","待补充"
"04.jpg","有一天","水墨感,柔和色调","治愈,依恋,温柔","特写,侧面构图","夜晚室内,睡前故事","","人类主角,亲子,床,书本,狗","温柔,亲密,治愈","亲情,成长,依恋","亲子对话,哲理短句","全龄通用","温柔,诗意","这本书以母亲的视角描绘孩子成长的每一个瞬间，表达了深沉的母爱与时间的流逝。","成长, 母爱, 时间, 亲子, 回忆"
"05-一只红手套.jpg","一只红手套","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待标注","待补充","待补充"
"05.jpg","最好喝的汤","粉彩,色彩丰富","喜悦,满足,热闹","居中构图","室内餐桌场景","","动物主角,汤碗,勺子,对白文字","热闹,满足,快乐","友情,分享,美食","对话型,童话寓言","幼儿,小学低年级","活泼,幽默","动物们聚在一起煮汤的过程中，从争论到合作，故事传递了分享、尝试和朋友间互相理解的重要性。","友情, 合作, 分享, 食物, 动物"
